id,chlass_id,name,created_at,updated_at,wikitext,image_name
1,1,RODENTIA,2014-09-09 21:47:35.71273,2014-09-10 04:55:38.213056,"<div class=""intro""><em>Anomaluromorpha</em><br>
<em>Castorimorpha</em><br>
<em>Caviomorpha</em>)<br>
<em>Myomorpha</em><br>
<em>Sciuromorpha</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/4/40/Rodent_collage.jpg/300px-Rodent_collage.jpg
2,1,CHIROPTERA,2014-09-09 21:47:46.72356,2014-09-10 04:55:39.314102,"<div class=""intro""><i>See article</i></div>",//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Big-eared-townsend-fledermaus.jpg/240px-Big-eared-townsend-fledermaus.jpg
3,1,CARNIVORA,2014-09-09 21:47:49.944639,2014-09-10 04:55:39.741782,"<div class=""intro""><b>Carnivora</b> (<span class=""nowrap""><span title=""Representation in the International Phonetic Alphabet (IPA)"" class=""IPA""><em>southern elephant seal</em> (<i>Mirounga leonina</i>), whose adult males weigh up to 5,000 kg (11,000 lb) and measure up to 6.9 m (23 ft) in length.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Order_Carnivora.jpg/250px-Order_Carnivora.jpg
4,1,DIPROTODONTIA,2014-09-09 21:48:01.03687,2014-09-10 04:55:40.027495,"<div class=""intro""><em>Vombatiformes</em><br>
<em>Phalangeriformes</em><br>
<em>Macropodiformes</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/2/26/Macropus_agilis_-_02.jpg/230px-Macropus_agilis_-_02.jpg
5,1,CETARTIODACTYLA,2014-09-09 21:48:01.465889,2014-09-10 04:55:40.298983,"<div class=""intro""><b>Cetartiodactyla</b> is the <em>Whippomorpha</em>. Alternatively, the term 'Cetartiodactyla' is used to denote a clade where Cetacea evolved alongside Artiodactyla and not within it. Under this definition, all artiodactyls, including hippos, are more closely related to one another than any are to the whales.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Pakicetus_BW.jpg/245px-Pakicetus_BW.jpg
6,1,PRIMATES,2014-09-09 21:48:47.889745,2014-09-10 04:55:40.783065,"<div class=""intro"">A <b>primate</b> (<span class=""nowrap""><span class=""noexcerpt""><em>arboreal</em>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Primates_-_some_families.jpg/220px-Primates_-_some_families.jpg
7,1,AFROSORICIDA,2014-09-09 21:49:05.859631,2014-09-10 04:55:41.040105,"<div class=""intro""> <em>Chrysochloridae</em><br>
 <em>Tenrecidae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Tanrek.jpg/240px-Tanrek.jpg
8,1,SCANDENTIA,2014-09-09 21:49:13.457905,2014-09-10 04:55:41.329136,"<div class=""intro"">The <b>treeshrews</b> (or <b>tree shrews</b> or <b>banxrings</b><sup id=""cite_ref-2"" class=""reference""><em><span>[</span>3<span>]</span></em></sup> though high ratios are not uncommon for animals weighing less than a kilogram.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Anathana_ellioti.jpg/220px-Anathana_ellioti.jpg
9,1,EULIPOTYPHLA,2014-09-09 21:49:22.29494,2014-09-10 04:55:41.944941,"<div class=""intro""><b>Eulipotyphla</b> is an <em><span>[</span>1<span>]</span></em></sup></div>",//upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png
10,1,DASYUROMORPHIA,2014-09-09 21:49:24.359297,2014-09-10 04:55:42.223536,"<div class=""intro"">†<em>Thylacinidae</em><br>
<em>Dasyuridae</em><br>
<em>Myrmecobiidae</em></div>",//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Dasyurus_maculatus.jpg/250px-Dasyurus_maculatus.jpg
11,1,LAGOMORPHA,2014-09-09 21:51:41.396768,2014-09-10 04:55:42.50407,"<div class=""intro""><em>Leporidae</em><br>
<em>Ochotonidae</em><br>
<em>Prolagidae</em> (extinct)</div>",//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Oryctolagus_cuniculus_Tasmania_2.jpg/220px-Oryctolagus_cuniculus_Tasmania_2.jpg
12,1,PILOSA,2014-09-09 21:51:46.370008,2014-09-10 04:55:42.747886,"<div class=""intro""><em>Vermilingua</em> - anteaters<br>
<em>Folivora</em> - sloths</div>",//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Myresluger.jpg/250px-Myresluger.jpg
13,1,CINGULATA,2014-09-09 21:52:02.263242,2014-09-10 04:55:43.027513,"<div class=""intro""><b>Cingulata</b>, part of the superorder <em>Paleo-Indians</em>.</div>",//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Glyptotheriumm.jpg/220px-Glyptotheriumm.jpg
14,1,PAUCITUBERCULATA,2014-09-09 21:52:06.566252,2014-09-10 04:55:43.70168,"<div class=""intro""><b>Caenolestinae</b><br></div>",//upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Shrew_opossum_-_Caenolestidae.png/240px-Shrew_opossum_-_Caenolestidae.png
